iter	Passed	Remaining
0	250	250692
1	331	165454
2	408	135868
3	474	118034
4	546	108827
5	615	101933
6	686	97376
7	752	93265
8	818	90094
9	884	87600
10	954	85782
11	1022	84167
12	1089	82716
13	1154	81306
14	1226	80530
15	1291	79451
16	1352	78233
17	1411	77007
18	1478	76342
19	1549	75917
20	1617	75425
21	1683	74840
22	1751	74379
23	1823	74155
24	1885	73553
25	1953	73169
26	2016	72665
27	2083	72328
28	2153	72089
29	2221	71819
30	2289	71579
31	2355	71251
32	2421	70971
33	2487	70685
34	2559	70567
35	2627	70359
36	2692	70087
37	2763	69969
38	2832	69806
39	2905	69740
40	2977	69644
41	3049	69565
42	3118	69412
43	3189	69308
44	3257	69123
45	3324	68951
46	3394	68837
47	3458	68595
48	3523	68389
49	3590	68224
50	3655	68024
51	3724	67892
52	3792	67761
53	3858	67596
54	3924	67433
55	3995	67348
56	4061	67190
57	4123	66975
58	4185	66751
59	4248	66555
60	4314	66412
61	4381	66284
62	4448	66169
63	4520	66113
64	4583	65929
65	4643	65710
66	4705	65531
67	4777	65478
68	4841	65324
69	4906	65190
70	4974	65092
71	5042	64991
72	5117	64984
73	5183	64859
74	5249	64740
75	5313	64602
76	5383	64532
77	5450	64430
78	5518	64331
79	5583	64214
80	5646	64065
81	5719	64027
82	5785	63923
83	5853	63831
84	5921	63741
85	5992	63688
86	6057	63570
87	6120	63433
88	6182	63278
89	6250	63195
90	6313	63064
91	6376	62938
92	6441	62823
93	6510	62747
94	6573	62616
95	6635	62486
96	6699	62371
97	6762	62241
98	6826	62127
99	6896	62064
100	6960	61956
101	7020	61806
102	7084	61693
103	7152	61624
104	7214	61493
105	7278	61388
106	7341	61267
107	7404	61157
108	7467	61044
109	7534	60961
110	7594	60820
111	7655	60700
112	7720	60605
113	7779	60463
114	7844	60370
115	7910	60281
116	7971	60161
117	8030	60027
118	8093	59921
119	8161	59852
120	8223	59740
121	8285	59625
122	8352	59556
123	8415	59452
124	8487	59410
125	8552	59325
126	8615	59221
127	8677	59112
128	8740	59015
129	8808	58949
130	8876	58882
131	8944	58814
132	9004	58696
133	9068	58605
134	9139	58559
135	9209	58510
136	9277	58440
137	9345	58372
138	9413	58310
139	9476	58215
140	9543	58138
141	9611	58077
142	9687	58059
143	9756	57994
144	9817	57889
145	9882	57808
146	9953	57758
147	10019	57678
148	10086	57610
149	10155	57549
150	10222	57473
151	10286	57389
152	10350	57301
153	10412	57203
154	10477	57120
155	10541	57032
156	10608	56961
157	10672	56874
158	10734	56780
159	10798	56691
160	10865	56620
161	10932	56552
162	11002	56499
163	11064	56403
164	11124	56298
165	11187	56208
166	11253	56133
167	11316	56044
168	11380	55958
169	11446	55885
170	11514	55821
171	11579	55742
172	11640	55647
173	11707	55575
174	11777	55521
175	11852	55489
176	11915	55404
177	11980	55325
178	12045	55248
179	12105	55149
180	12176	55097
181	12239	55008
182	12304	54932
183	12366	54842
184	12430	54760
185	12501	54712
186	12560	54606
187	12627	54540
188	12689	54449
189	12755	54379
190	12822	54309
191	12898	54281
192	12963	54203
193	13026	54119
194	13092	54047
195	13159	53981
196	13227	53915
197	13295	53855
198	13361	53782
199	13428	53712
200	13490	53626
201	13553	53541
202	13618	53468
203	13686	53405
204	13757	53352
205	13823	53281
206	13890	53211
207	13951	53124
208	14026	53086
209	14089	53004
210	14158	52944
211	14230	52895
212	14291	52803
213	14353	52718
214	14424	52666
215	14491	52598
216	14556	52523
217	14618	52438
218	14683	52363
219	14751	52300
220	14821	52243
221	14891	52185
222	14956	52111
223	15033	52079
224	15101	52014
225	15169	51953
226	15238	51893
227	15310	51841
228	15374	51762
229	15447	51715
230	15511	51638
231	15592	51618
232	15662	51559
233	15735	51510
234	15805	51453
235	15871	51379
236	15938	51311
237	16003	51238
238	16075	51187
239	16136	51099
240	16196	51008
241	16270	50961
242	16333	50883
243	16394	50797
244	16457	50716
245	16519	50631
246	16587	50568
247	16657	50509
248	16726	50448
249	16790	50372
250	16850	50283
251	16914	50206
252	16978	50129
253	17044	50060
254	17107	49980
255	17173	49911
256	17248	49864
257	17315	49798
258	17383	49733
259	17448	49660
260	17523	49617
261	17584	49530
262	17647	49452
263	17716	49390
264	17780	49314
265	17848	49251
266	17916	49187
267	17985	49123
268	18057	49070
269	18126	49008
270	18186	48922
271	18255	48861
272	18318	48782
273	18390	48727
274	18451	48645
275	18517	48575
276	18580	48496
277	18643	48419
278	18721	48380
279	18785	48305
280	18849	48230
281	18914	48157
282	18979	48085
283	19050	48028
284	19119	47965
285	19190	47909
286	19251	47827
287	19317	47758
288	19385	47691
289	19450	47618
290	19522	47564
291	19586	47491
292	19655	47428
293	19731	47382
294	19795	47308
295	19864	47245
296	19932	47179
297	19997	47109
298	20066	47046
299	20128	46967
300	20198	46905
301	20264	46836
302	20339	46787
303	20404	46715
304	20473	46652
305	20542	46589
306	20616	46538
307	20683	46471
308	20751	46405
309	20819	46340
310	20890	46282
311	20951	46201
312	21021	46139
313	21096	46089
314	21170	46037
315	21237	45968
316	21302	45898
317	21366	45822
318	21436	45762
319	21502	45692
320	21572	45632
321	21637	45560
322	21703	45490
323	21769	45421
324	21838	45357
325	21905	45288
326	21975	45226
327	22041	45157
328	22102	45078
329	22166	45004
330	22227	44925
331	22291	44852
332	22359	44785
333	22422	44711
334	22485	44636
335	22554	44572
336	22614	44489
337	22686	44432
338	22746	44352
339	22809	44276
340	22873	44203
341	22941	44138
342	23011	44078
343	23073	44001
344	23132	43919
345	23197	43847
346	23265	43781
347	23338	43725
348	23401	43652
349	23475	43597
350	23540	43527
351	23607	43458
352	23671	43386
353	23747	43335
354	23809	43260
355	23888	43213
356	23955	43145
357	24017	43070
358	24078	42992
359	24137	42910
360	24211	42855
361	24277	42786
362	24349	42728
363	24417	42663
364	24483	42595
365	24549	42525
366	24620	42464
367	24690	42402
368	24748	42321
369	24817	42256
370	24878	42180
371	24940	42103
372	25005	42033
373	25071	41964
374	25133	41889
375	25202	41825
376	25266	41753
377	25339	41696
378	25413	41640
379	25482	41576
380	25544	41500
381	25608	41430
382	25675	41362
383	25739	41291
384	25803	41218
385	25867	41147
386	25941	41090
387	26006	41020
388	26072	40951
389	26136	40880
390	26198	40804
391	26269	40744
392	26331	40670
393	26395	40597
394	26461	40529
395	26536	40474
396	26602	40405
397	26664	40332
398	26736	40271
399	26802	40203
400	26871	40139
401	26943	40079
402	27010	40013
403	27071	39937
404	27132	39861
405	27197	39790
406	27259	39716
407	27318	39639
408	27382	39566
409	27451	39503
410	27515	39432
411	27578	39360
412	27637	39281
413	27704	39214
414	27772	39148
415	27840	39083
416	27909	39019
417	27973	38948
418	28036	38875
419	28101	38807
420	28163	38733
421	28231	38667
422	28299	38602
423	28364	38532
424	28432	38467
425	28499	38400
426	28569	38338
427	28639	38275
428	28698	38198
